分野,サービス分類,キーワード,サービス名称,対象者,開始日,終了日,期間備考,無料/有料,導入支援有無,企業等,詳細,発表日付,URL,情報源,情報源にCFJと記載されているものは、CFJが収集したデータであり、CFJが作成したり責任を持って提供する情報では有りません。情報の利用は、各利用者の判断でお願いします。
教育・学習支援,サービス提供,オンライン学習,スマートコーチ,"個人, 教育機関",2020/3/9,2020/4/30,,無料,,ソフトバンク株式会社,学習やスポーツに取り組むユーザーが、スマートフォンやタブレット、パソコンを利用して、オンライン上で教職員や専門のコーチに相談し、動画添削による指導などを受けることができるサービス。,2020/3/12,https://www.softbank.jp/corp/news/press/sbkk/2020/20200306_01/,電気通信事業者協会（TCA）,情報通信
コミュニケーション,サービス提供,情報配信、一斉配信、スピード導入、安価、スマートフォン・ガラケーに対応,スマート配信,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",,,,その他,,株式会社アドヴァンスト・インフォーメイション・デザイン,【新型コロナウィルス等の緊急連絡に！】企業団体内の一斉連絡、安否確認等を迅速・確実に実現できます。,2020/3/12,https://www.a-i-d.co.jp/solution/our_products/mail_deli.html,全国地域情報産業団体連合会,情報通信
ワークスタイル（テレワーク含む）,サービス提供,テレワーク、セキュリティ、情報漏えい対策,TRUST DELETE prime,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",2020/3/1,,利用開始から3か月,無料,,ワンビ株式会社,"モバイルパソコンの盗難・紛失時は、リモートロック・消去でデータ漏えいを防止します。オフラインでも自律制御セキュリティ機能が監視ポリシーの違反を検知すると大音量アラームやロック・消去でパソコンとデータを保護します。
自律制御セキュリティ機能は持ち出し禁止パソコンの不正利用の防止にも有効です。",2020/3/12,https://www.onebe.co.jp/2020TDM/index.html,コンピュータソフトウェア協会,情報通信
教育・学習支援,サービス提供,映像授業,基本のキ,民間教育機関,2020/3/1,2020/4/30,,無料,,株式会社デジタル・ナレッジ,中学1年～3年の国語・数学・英語・理科・社会の基本を、専任講師による映像授業＋専用のテキスト教材で学べる、デジタル＆アナログ連動型の学習システム『基本のキ』を民間教育現場に対し、2020年3月1日(日)～4月30日(木)まで無償で提供いたします。,2020/3/12,https://www.digital-knowledge.co.jp/archives/21552/,ICT CONNECT21,"情報通信, 教育、学習支援"
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,テレワークシステム評価貸出、提案/導入支援,企業等,2020/3/10,,指定なし,その他,,情報技術開発株式会社,テレワーク（リモートワーク）システムの評価ライセンスの無償貸し出し（30日間）。製品調達仕様にあわせ複数製品から製品選定し提案および導入作業を支援（有償提供）。,2020/3/12,https://www.tdi.co.jp,情報サービス産業協会（JISA）,情報通信
教育・学習支援,サービス提供,学習教材,春休みの自由研究,"個人, 教育機関",,2020/4/5,,無料,,アクティブラーニングこんなのどうだろう研究所,春休みの自由研究冊子「キミの人生が変わる！？世界でたったひとつの自由研究のすすめ方」が無料ダウンロードできます。「自分の興味を知ること」に焦点を当てて自由研究を進めていくための冊子型教材です。自分の興味に沿ったあなただけのすてきな自由研究のテーマができあがります。,2020/3/12,https://www.konnano-dodaro.jp/projects/spring2020,その他,"教育、学習支援, その他"
その他,サービス提供,テレワーク,ジョブカン,企業等,2020/3/2,2020/3/31,,無料,,株式会社Donuts,"ジョブカンシリーズは、ジョブカン勤怠管理を始めとし、経費精算・ワークフロー・採用管理・労務管理・給与計算の6サービスからなる、バックオフィス業務を効率化するクラウドサービスです。企業の創業期から成熟期まであらゆるステージ・規模に対応しており、現在75,000社以上が利用しています。",2020/3/12,https://all.jobcan.ne.jp/info/press/1699/,その他,情報通信
その他,サービス提供,先14日間の緊急用発注データの無償提供,需要予測型自動発注システム「sinops」,企業等,2020/3/11,,終了時期未定,無料,,株式会社シノプス,"万一感染者が発生もしくは拡大を防止するための措置により、濃厚接触者は一定期間自宅待機となります。 発注担当者の不在に備え、当社の自動発注ノウハウから簡易的な発注データ（先14日分）を無償でご提供させていただきます。
",2020/3/12,https://www.sinops.jp/wp-main/wp-content/uploads/2020/03/againstvirus-1.pdf,その他,情報通信
生活関連サービス、娯楽,サービス提供,オーディオブック,audiobook.jp,個人,2020/3/12,2020/3/31,,無料,,株式会社オトバンク,"親子で楽しめるオーディオブック数点を無料で提供。
・『星の王子さま』
・『眠れなくても、まぁいいか』
・『心やさしく賢い子に育つ　みじかいおはなし366　3・4月編』
・耳でみる絵本シリーズ",2020/3/12,https://audiobook.jp/booklist/313,その他,情報通信
教育・学習支援,サービス提供,オンライン授業,オンラインおうち学校,"教育機関, 非営利型一般社団法人",2020/3/2,,一斉休校期間は継続し、その後も、ハイブリッドスクーリングの可能性の一つとしてサービス提供を続ける所存です。,割引,,一般社団法人アルバ・エデュ,各界の第一人者から授業を受けられるオンライン学校です。社会、理科、英語、国語、体育など、学校の授業では聞けない一歩進んだ、一歩踏み込んだ内容を提供しています。専門家の先生方に直接質問できるのもオンライン学校の醍醐味です。,2020/3/12,https://www.alba-edu.org/onlineouchigakko/,その他,教育、学習支援
"ワークスタイル（テレワーク含む）, その他",サービス提供,テレワーク用WEB会議機材無料レンタル,Blink community,"個人, 企業等",2020/3/2,,終了期間未定,その他,,Blink Roppongi合同会社,コワーキングスペース&シェアオフィス の運営をしております。この度、WEB会議システムを導入し、テレワーク環境を整えました。入居企業以外に一日利用でテレワークが必要な方には、機材の無料レンタルを開始しました。,2020/3/12,https://www.blinkcommunity.com/?lang=ja,テレワーク・デイズ登録企業,その他サービス
"教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",サービス提供,リアルタイム投票・コメント投稿・アンケート（アプリ不要で即使える）,イマキク,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関, MICE、セミナー・イベント・学会、会社説明会・社内研修など、ライブ配信対応が必要な企業も対応可能",2020/3/1,,会員登録するだけ！基本機能はずっと無料で利用できます,無料,,株式会社天問堂,"自分のスマホ・タブレット・PCから、QRコードを読取るだけで、即リアルタイム投票・コメント投稿ができます。
ライブ配信による会社説明会・イベント・セミナー・学会、MICE、会議などを実施する方は試してください。",2020/3/12,https://imakiku.com,その他,教育、学習支援
"ワークスタイル（テレワーク含む）, コミュニケーション, その他",サービス提供,テレワーク,WEB会議機器無料貸し出し,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",2020/3/12,,終了時期未定,無料,,コワーキングスペースBUSO AGORA,WEB会議等で必要なカメラ・ヘッドホン・モニター・大型モニター・プロジェクターなどを無料貸し出し致します。,2020/3/12,https://www.incubation-office-agora.com,テレワーク・デイズ登録企業,"宿泊、飲食サービス, その他サービス"
教育・学習支援,サービス提供,児童書＆読み聞かせデータ無料開放,子育てウェブメディアHugKuｍ,個人,2020/3/4,2020/4/30,休校の目処が立ち次第,無料,,株式会社　小学館,ベストセラー「心やさしく賢い子に育つ みじかいおはなし３６６」の中から約60話のおはなしページと、その読み聞かせデータをホームページ内で無料開放,2020/3/12,https://hugkum.sho.jp/121544,その他,教育、学習支援
"教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",サービス提供,テレワーク,Brushup,"企業等, 教育機関, 行政機関",2020/3/3,2020/4/3,2020年3月3日(火)9時 〜 4月3日(金)0時までに登録いただいた企業に対して、登録日から90日間無償提供します,無料,,株式会社Brushup,"ドキュメント、デザイン、動画などの制作物のフィードバックツール。
通常、制作物のやりとりは、対面での細かい指示や紙に印刷して赤入れをする必要があるため、オフィスへ出勤する必要があります。Brushup があれば、リモートで詳細なフィードバックができます。",2020/3/12,https://www.brushup.net/,テレワーク・デイズ登録企業,その他サービス
ワークスタイル（テレワーク含む）,サービス提供,千葉市のコワーキングスペース,TENT幕張,"個人, 企業等",2020/3/1,,終了時期未定,その他,,ステップチェンジ株式会社,千葉にお住まいで都内までの通勤にご苦労されている方にテレワークスペースをご提供しております。一時利用（ドロップイン）は9:00-24:00まで（土日は20:00まで）ご利用いただけます。,2020/3/12,https://www.tent-makuhari.com,テレワーク・デイズ登録企業,その他サービス
教育・学習支援,サービス提供,プログラミング,子どもプログラミング無料体験,個人,2020/3/2,2020/3/31,,その他,,株式会社ドリームクラフト,"スクラッチを使ったプログラミング無料体験を1組限定で実施しています。
新型コロナウイルス感染予防対策として、お子様と保護者の1組限定とし、実施前には十分な換気、手に触れる箇所やキーボード、マウスなどのアルコール消毒を行います。
日程はご都合をお伺いし柔軟に対応させていただきます。
",2020/3/12,https://dc-school.jp/?page_id=290,ICT CONNECT21,"情報通信, 生活関連サービス、娯楽, 教育、学習支援"
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,FUJITSU Software TIME CREATOR,企業等,,,利用開始から60日間,無料,,株式会社富士通エフサス,"テレワークの労働時間管理の不安解消ツールを60日無償提供。
PCの使用時間を記録し、適切な労務管理を支援します。勤務時間を過ぎると警告表示やシャットダウンを行うことができ、長時間残業抑止を支援します。",2020/3/12,http://www.fsas.fujitsu.com/service/time-creator/,テレワーク・デイズ登録企業,情報通信
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,FUJITSU Infrastructure System Integration デスクトップ仮想化サービス,企業等,,,,その他,,株式会社富士通エフサス,仮想化・シンクライアント・セキュリティなどの様々な技術をベースに”いつでも・どこでも安全・安心・快適なデスクトップ環境”をご提供いたします。,2020/3/12,https://www.fujitsu.com/jp/fsas/services/application-services/application-development-integration/cloud/desktop/,テレワーク・デイズ登録企業,情報通信
ワークスタイル（テレワーク含む）,現物提供,テレワーク,FUJITSU Security Solution機密情報保護＆共有ソリューション Rightspia® for Secure Documents,企業等,,,,その他,,株式会社富士通エフサス,社外から社内ネットワークにアクセスすることにより、情報漏えいの危険性がより高まります。パスワード不要のファイル暗号化により、シンプルな運用で強固に機密情報を保護することができます。,2020/3/12,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/rightspia/,テレワーク・デイズ登録企業,情報通信
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,FUJITSU Security Solutionセコム電子証明書サービス,企業等,,,,その他,,株式会社富士通エフサス,セコムトラストシステムズ社で厳重に管理されている認証局にて信頼性の高い証明書を発行し、正しいデバイスからのみシステムへの接続を許可するなど、なりすましを防止します。,2020/3/12,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/secom/private-ca/index.html,テレワーク・デイズ登録企業,情報通信
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,FUJITSU Managed Infrastructure Service スマートデバイス-LCMサービス,企業等,,,,その他,,株式会社富士通エフサス,様々な職種や環境で利用されるスマートデバイスをICTの視点から企画・設計・導入展開・運用までワンストップで提供します。,2020/3/12,https://www.fujitsu.com/jp/fsas/services/infrastructure/end-user-services/system/smartdevice-lcm/,テレワーク・デイズ登録企業,情報通信
教育・学習支援,サービス提供,オンライン英会話,オリジン・オンライン英会話,"個人, 企業等, 教育機関",,,,割引,,INTERLINE株式会社,"オリジン・オンライン英会話は子ども専門のオンライン英会話サービスです。
ネイティブの先生と毎日、オンラインで英語が学べます。
予約不要、時間固定、２０回／月、２０分／回、無料の専用ソフト、入学金なし
割引価格：12000円／月
",2020/3/12,http://www.originedu.jp/,日本情報技術取引所,情報通信
教育・学習支援,サービス提供,オンライン学習,小学校一斉休校による自宅学習応援サイト,教育機関,2020/3/6,2020/3/31,3月初旬から3月末まで,無料,,株式会社がくげい,"学習指導要領に準拠した学習コンテンツ、算数・国語・理科・社会・英語の主要教科の他
音楽・図工・家庭科・体育・タイピングの副教科を収録、小学生に必要な学力がしっかり身につきます。",2020/3/12,https://www.gakugei.co.jp/corona/,日本教育情報化振興会,教育、学習支援
"教育・学習支援, 医療、福祉, 宿泊、飲食サービス, コミュニケーション",サービス提供,チャットボット,LogicalMind ENTERPRISE,教育機関,2020/3/11,2020/6/30,6月末まで,無料,,株式会社マインドシフト,"株式会社マインドシフト（本社：東京都中央区、代表取締役：谷水裕彦）は、新型コロナウイルスの感染拡大に伴う生徒・学生・保護者への対応を行う学校法人様向けに、当社が運営するAIチャットボットサービス「LogicalMind ENTERPRISE」を無償提供いたします。

生徒・学生・保護者からの新型コロナウイルスに関する問い合わせに、人を介さずに自動で対応します。
簡単な問合せはチャットボットで対応し、複雑な問合せは文部科学省提供の既存文書から情報を探すといったすみ分けで、問合せスピード向上を目指します。",2020/3/12,https://logicalmind.jp/,データ通信協会,情報通信
教育・学習支援,サービス提供,オンライン学習,Gakken 家庭学習応援サイト,個人,2020/3/2,,未定（開始時は3月31日を予定していましたが、状況に応じて延長の方針です。）,無料,,株式会社学研ホールディングス,小学校・中学校・高等学校・特別支援学校の臨時休校中に家庭でできる教材を無料で提供いたします。ぜひお役立てください。,2020/3/12,https://www.gakken.co.jp/homestudy-support/,日本教育情報化振興会,"教育、学習支援, 医療、福祉"
その他サービス,サービス提供,テレワーク,Work Style Analyzer,企業への提供,既に提供済,未定,無償提供期間（３０日間）,有料,有,フェアユース株式会社,"新型コロナウイルス感染拡大に伴い、各社「在宅勤務」や「テレワーク」への切り替えを実施するなど各企業での取り組みが始まっております。「在宅勤務」や「テレワーク」を行っている企業では、社員のリアルタイムでの業務内容に対しての把握が出来ずに悩みを抱えていらっしゃる管理職および人事部門が多いです。

・「在宅勤務」「テレワーク」時にどのような仕事をしているかわからない
・社員間のコミュニケーションがとりづらい
・毎日の報告書の作成や管理が面倒

Work Style Analyzer では上記のような「在宅勤務」「テレワーク上」の問題点を解決します。具体的にはPC操作上の下記のようなログを取得し、リアルタイムでレポート化します。これにより管理職および人事部門はリアルタイムで業務内容を把握することが可能になります。
",2/1/2020,https://fairuse.jp/work_style_analyzer.html,テレワーク・デイズ登録企業,
情報通信,サービス提供,テレワーク,RemoteWorks,企業への提供,,,トライアル期間30日間,有料,有,TIS株式会社,企業のポリシーに合わせたRemoteWorksの運用方法のご提案可能,,https://www.remoteworks.jp/,テレワーク・デイズ登録企業,
情報通信,サービス提供,"・仮想デスクトップ
・VDI",仮想デスクトップサービス V-DaaS,法人企業、官庁、公企業、自治体,,2020-07-31,実施期間中,一部有料,有,富士通株式会社,テレワーク初期導入時のハードルを下げるため、富士通の提供する「仮想デスクトップサービス V-DaaS」の初期費と月額利用料3か月分を無料とする。,,https://www.fujitsu.com/jp/services/infrastructure/virtualdesktop/v-daas/campaign/telework/index.html,（一社）全国地域情報化推進協会（APPLIC）,
情報通信,サービス提供,"・仮想デスクトップ
・VDI","FUJITSU Cloud Service
Print Anywhere",法人企業、官庁、公企業、自治体,,,実施期間中,有料,有,富士通株式会社,Print Anywhereは、さまざまなメーカーや機種の複合機で、場所を選ばす社内のどこからでも印刷することを可能とし、テレワークの活用を促進するクラウド型のサービスです。,,https://jp.fujitsu.com/solutions/cloud/saas/application/print-anywhere/,（一社）全国地域情報化推進協会（APPLIC）,
情報通信,サービス提供,テレワークに最適なモバイル端末,FUJITSU Notebook LIFEBOOK U939/C,端末を社外に持ち出してテレワークを行う方,,,,有料,有,富士通株式会社,薄さ・軽さ、堅牢性、バッテリ稼働時間の長さ、多彩なセキュリティを備えたモバイルPC,1/23/2020,http://www.fmworld.net/biz/fmv/lifebook/u939c/,（一社）全国地域情報化推進協会（APPLIC）,
情報通信,サービス提供,テレワークに最適なモバイル端末,FUJITSU Notebook LIFEBOOK U939X/C,端末を社外に持ち出してテレワークを行う方,,,,有料,有,富士通株式会社,薄さ・軽さ、堅牢性、バッテリ稼働時間の長さ、多彩なセキュリティを備えたペン内蔵コンバーチブルPC,1/23/2020,http://www.fmworld.net/biz/fmv/lifebook/u939xc/,（一社）全国地域情報化推進協会（APPLIC）,
情報通信,サービス提供,テレワークに最適なモバイル端末,FUJITSU Thin Client　FUTRO MU937,端末を社外に持ち出してテレワークを行う方,,,,有料,有,富士通株式会社,薄さ・軽さ、堅牢性、バッテリ稼働時間の長さ、多彩なセキュリティを備えたシンクライアントPC,4/10/2018,http://www.fmworld.net/biz/thinclient/mu937/,（一社）全国地域情報化推進協会（APPLIC）,
情報通信,サービス提供,"テレワーク
モバイル
セキュリティ",FENICSⅡ　ユニバーサルコネクトアドバンス　SMARTブラウザサービス,スマートフォン、タブレット、PCを社外に持ち出してテレワークを行う方,,,,有料,有,富士通株式会社,社外でのスマートデバイスを活用したセキュアなテレワーク環境(モバイルアクセス環境)をご提供し、スキマ時間の活用・タイムリーな意思疎通、BYOD促進の支援します。,5/15/2019,https://www.fujitsu.com/jp/services/infrastructure/network/mobile/universal-advance/service/index.html,（一社）全国地域情報化推進協会（APPLIC）,
行政サービス等,サービス提供,テレワーク,サテライトオフィス誘致、テレワーク拠点の紹介,企業等への紹介,新型コロナ以前より開始,,,,,徳島県西部総合県民局,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,新型コロナ以前より開始,"にし阿波サテライトオフィスコンシェルジュ
http://nishiawa-so.com/",テレワーク・デイズ登録団体,
行政サービス等,サービス提供,テレワーク,サテライトオフィス誘致、テレワーク拠点の紹介,企業等への紹介,新型コロナ以前より開始,,,,,美馬市,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,新型コロナ以前より開始,美馬市サテライトオフィス体験施設「創～so～」http://www.city.mima.lg.jp/gyousei/kurashi/ijyusokushin/sateraito_so.html,テレワーク・デイズ登録団体,
行政サービス等,サービス提供,テレワーク,サテライトオフィス誘致、テレワーク拠点の紹介,企業等への紹介,新型コロナ以前より開始,,,,,三好市,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,新型コロナ以前より開始,"三好市サテライトオフィス
https://miyoshi-satelliteoffice.jp/",テレワーク・デイズ登録団体,
行政サービス等,サービス提供,テレワーク,サテライトオフィス誘致、テレワーク拠点の紹介,企業等への紹介,新型コロナ以前より開始,,,,,つるぎ町,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,新型コロナ以前より開始,"総務省お試しサテライトオフィス
https://www.soumu.go.jp/satellite-office/group/tokushima/index.html",テレワーク・デイズ登録団体,
行政サービス等,サービス提供,テレワーク,サテライトオフィス誘致、テレワーク拠点の紹介,企業等への紹介,新型コロナ以前より開始,,,,,東みよし町,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,新型コロナ以前より開始,"総務省お試しサテライトオフィス
https://www.soumu.go.jp/satellite-office/group/tokushima/index.html",テレワーク・デイズ登録団体,
その他サービス,その他,テレワーク,コワーキングスペース,個人及び法人,-,-,-,有料,有,"ＡｋｉｂａコワーキングスペースＲａｍｐａｒｔ
",ワークスペースの提供及びWi-Fi、電源、事務用品、PC周辺機などのご提供,-,https://rampart-akiba.jp/,テレワーク・デイズ登録団体,
情報通信,サービス提供,テレワーク,BT MeetMe with Dolby Voice,企業への提供,,,アカウント発行から基本的に30日間,無料,有,BT Japan,"高音質のクラウド型電話会議サービス。無料期間終了後も、固定費用は発生しない完全従量課金の仕組み。（利用しない月は費用発生なし。）
ヘルプデスク（日本語英語両対応）による電話での利用方法等のサポート可能。",,https://www.globalservices.bt.com/ja,（一社）情報通信ネットワーク産業協会（CIAJ),
情報通信,サービス提供,テレワーク,Webex by BT,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",2020/03/19,,開始から90日,割引,無,BT Japan,Webexをグローバルに活用を希望するお客様への特別プラン,,https://www.globalservices.bt.com/en,（一社）情報通信ネットワーク産業協会（CIAJ),
情報通信,サービス提供,テレワーク,しごとコンパス,企業への提供,2020-03-04,2020-05-31,,無料,有,パナソニック株式会社,"PCの操作ログから「働き方」を見える化することで、
社員１人ひとりの意識と行動改革を促すクラウドサービスです",3/5/2020,https://panasonic.biz/cns/pc/workstyle/telework_support/,（一社）情報通信ネットワーク産業協会（CIAJ),
情報通信,サービス提供,テレワーク,TRUST DELETE Biz,企業への提供,2020-03-04,2020-05-31,,無料,有,パナソニック株式会社,PCの盗難・紛失時に、遠隔操作でデータ消去を実行するサービス。ワイヤレスWANモデルであればPCの電源がオフでもLTEを使用してデータの完全消去が可能です。,3/5/2020,https://panasonic.biz/cns/pc/workstyle/telework_support/,（一社）情報通信ネットワーク産業協会（CIAJ),
情報通信,現物貸与,テレワーク,Poly ヘッドセット・スピーカー フォン無償貸し出しプログラム,企業への提供,,2020-06-30,応相談,無料,無,ポリコムジャパン株式会社 (Poly),テレワークの必須アイテム、ヘッドセット・スピーカー フォンを無償でお貸出しします。Polyが、クリアな音声で確かなコミュニケーションを実現し、ビジネス継続のお手伝いを致します。,,http://bit.ly/2wIguTM,（一社）日本テレワーク協会,
情報通信,サービス提供,テレワーク,Bizer  team,企業への提供,2020-02-28,2020-04-30,,無料,有,パーソルプロセス＆テクノロジー株式会社,Bizer社が提供する業務可視化・共有ツール「Bizer  team」のテンプレート機能を使い、テレワーク導入プロセスを可視化しました。Bizer  teamおよびテレワーク導入プロセスのテンプレートを4月末まで無償提供致します。テレワーク導入の進め方を知りたい方、テレワークによる業務共有を効率化したい企業の皆様のお役に立てれば幸いです。,2/28/2020,https://www.persol-group.co.jp/news/20200228_5282/index.html,（一社）日本テレワーク協会,
情報通信,その他,テレワーク,【岡崎ビジネスサポートセンターOKa－Biz】オンライン相談サービス「おうちビズ」,企業への提供,2020-03-03,,,無料,有,岡崎市（岡崎ビジネスサポートセンターOKa－Biz）,岡崎ビジネスサポートセンターOKa－Bizによるオンライン相談サービス「おうちビズ」スタート,3/3/2020,https://www.oka-biz.net/info/press/entry-624.html,（一社）日本テレワーク協会,
情報通信,サービス提供,テレワーク,RPAリモート接続ツール「OnRPA」,企業への提供,,,,無料,有,株式会社アクシオ,OnRPAは、デスクトップ型のRPAソフトをテレワーク利用する際に、ロボPCの空き状況を確認して競合接続を防止できるツールです。 複数の拠点や自宅などからのRPA利用を促進します。2台のRPAロボPCを管理できるOnRPAを無料にてダウンロードいただけます。また、インストールできるPCの台数と利用期間に制限はありません。,,https://www.axio.co.jp/products/winactor/onrpa.html,（一社）日本テレワーク協会,
情報通信,サービス提供,テレワーク,Easyテレワーク by InCircle,企業への提供,2020-03-02,,2020年3月分無料,一部有料,無,AI CROSS株式会社,簡単な操作ですぐ使えるInCircel(ビジネスチャット)でテレワーク環境およびBCP対策を提供します。4月以降のご契約でも無償期間についてはご相談を受け付けております。,3/2/2020,https://www.incircle.jp/easytelework/,（一社）日本テレワーク協会,
情報通信,割引,テレワーク,SECUREMATRIX パンデミックライセンス,企業への提供,2020-03-03,2020-05-31,ライセンス有効期間は利用開始から90日間です。,有料,無,株式会社シー・エス・イー,対象の【条件について】お客様：SECUREMATRIX V4.1/V10/V11のライセンスをお持ちのお客様　販売期間：2020年3月3日から2020年5月末日　ライセンス期間：3か月間（弊社出荷日から90日間）提供ライセンス：「ソフトウェアライセンス（標準価格90％OFF）」＋「保守サポート」の3か月間パック,3/3/2020,https://www.cseltd.co.jp/news/news-7076/,（一社）日本テレワーク協会,
情報通信,サービス提供,テレワーク,テレワーカーの業務内容を把握する「HeartCore TaskMining」を無償でご提供,企業への提供,2020-03-11,,新型コロナウイルス(COVID-19)収束宣言まで,無料,有,ハートコア株式会社,ハートコア株式会社は、政府の新型コロナウイルスの感染拡大に伴うテレワーク推奨宣言を受け、PCの操作ログを収集し従業員ひとりひとりの業務内容を可視化するための新製品「HeartCore TaskMining」の無償提供を開始します。 テレワークを導入したものの、セキュリティ問題やコミュニケーション不全そして労務管理問題など、今後のテレワーク推進にあたり解決すべき課題が見えてきた企業も多いでしょう。「HeartCore TaskMining」は、各PCの操作ログを収集し従業員ひとりひとりがどの時間にどのアプリケーションを使いどのような作業をしていたか、詳細に可視化します。これにより、遠隔地で勤務している従業員の1日の業務内容を把握することができます。また、従業員のWebサイトの閲覧を制限したり、メールやファイルの取り扱いを監視したり、社内セキュリティに配慮した運用も可能となります。,3/11/2020,https://www.heartcore.co.jp/lp/taskmining.html,（一社）日本テレワーク協会,
情報通信,現物貸与,テレワーク,シンクライアントソリューション,企業への提供,2020-03-11,2020-05-31,2020/4/30受付終了,無料,有,日本ナレッジ株式会社,テレワークを導入する企業に完全シンクライアントソリューション「monoPack」を一定期間、1社最大10クライアントを無償貸与する。,3/11/2020,https://www.know-net.co.jp/,（一社）日本IT団体連盟,
情報通信,割引,テレワーク,シンクライアントソリューション,企業への提供,2020-03-23,2020-05-31,予定量終了まで,有料,有,日本ナレッジ株式会社,テレワークを導入する企業に完全シンクライアント＋VPNソリューション「monoPack connect」を特別価格で提供する。,3/23/2020,https://www.know-net.co.jp/,（一社）日本IT団体連盟,
情報通信,その他,テレワーク,オフィスワークトータルアウトソーシングサービス,企業への提供,,,,有料,有,オフィスエム,"在宅勤務導入にともなう準備・サポート
規則の改定、仕事の標準化マニュアル作成・遠隔による在宅勤務者の面談
障碍者の在宅勤務サポート",,https://www.officem.jp/,テレワークデイズ登録企業,
情報通信,サービス提供,テレワーク,テレワークでの安全・快適なPC利用「ZENMU Virtual Desktop」,企業への提供,2020-03-05,2020-05-31,,無料,有,株式会社ZenmuTech,テレワークでの安全・快適なPC利用を実現し、面倒なサーバー設定不要で、オフラインでも安全なデータ利用が可能な「ZENMU Virtual Desktop」を 期間限定で無償提供します。,3/5/2020,https://zenmutech.com/information/news/newsrelease-20200305,（一社）コンピュータソフトウェア協会,
情報通信,サービス提供,テレワーク,グループウェア「desknet's NEO」クラウド版（100ユーザー）,テレワークを検討中の法人・団体・教育機関など（個人を除く）,2020-03-09,2020-06-30,,無料,有,株式会社ネオジャパン,"ポータル・インフォメーション・文書管理・ウェブメール・ワークフロー・安否確認など、desknet's NEOの持つすべての機能をご利用いただけます。
より安全性の高いテレワーク環境を構築いただけるよう、管理外の端末からの利用を制限できる「クライアント認証サービス（200デバイス分）」も無償提供いたします。
※100ユーザー固定での提供であり、クライアント認証以外のオプションは選択できないことをご留意ください。",3/9/2020,https://www.neo.co.jp/corp/telework-support.html,（一社）コンピュータソフトウェア協会,
情報通信,割引,テレワーク,各種研修のWeb開催,企業、行政期間への提供,,,,有料,無,みらい株式会社,"企業、行政期間への各種研修をWeb会議システムで提供する。通常の集合型研修では１回あたり「250,000円（税抜）＋実費交通費」のところを「90,000円（税抜）」で実施。（社員・職員のスキルアップ研修、マーケティングなど各種テーマ別研修）",,https://www.go-mirai.jp,テレワークデイズ登録企業,
情報通信,サービス提供,テレワーク,クラウド型 勤怠管理システム KING OF TIME,企業への提供,,2020年5月末日,,有料,有,株式会社ヒューマンテクノロジーズ,"KING OF TIMEはお手持ちのPCとインターネット（VPN不要）だけで、簡単で高度な勤怠管理を行う、
クラウド型の勤怠管理システムです。打刻データがリアルタイムにブラウザ上で管理出来るので
「作業効率」と「コスト削減」の実現が可能となります。

1ヶ月無料体験にてお試し頂けます。
右記URLから「30日間無料体験」からお申込みください。

打刻手段としては、KING OF TIMEの無料打刻手段、またはセキュアログインのパスワード打刻が対象となります。

まずは一度お試しください！",,https://www.kingtime.jp/,（一社）コンピュータソフトウェア協会,
情報通信,サービス提供,テレワーク,ペーパーレス会議システム SmartDiscussion,企業、地方自治体、教育機関等への提供,2020-03-05,2020-07-03,,無料,有,キッセイコムテック株式会社,在宅勤務やリモートワークを行う企業や地方自治体、教育機関等の諸団体の円滑な情報共有を支援するため、資料共有/ペーパーレス会議システムSmartDiscussion(スマートディスカッション)のクラウドサービス環境を最大120日間無償提供します。,3/5/2020,https://www.kicnet.co.jp/mobile/smartdiscussion/index.html,（一社）全国地域情報産業団体連合会,
